,Data,Temperatura,Descrição,Umidade,Pressão,Temp_min,Temp_max,Vento
0,2024-11-14 03:00:00,15.31,light rain,82,1015,14.63,15.31,4.09
1,2024-11-14 06:00:00,15.09,overcast clouds,85,1015,14.66,15.09,3.71
2,2024-11-14 09:00:00,14.6,broken clouds,87,1016,14.24,14.6,3.61
3,2024-11-14 12:00:00,16.5,broken clouds,83,1017,16.5,16.5,3.77
4,2024-11-14 15:00:00,20.17,overcast clouds,72,1015,20.17,20.17,4.0
5,2024-11-14 18:00:00,18.13,overcast clouds,83,1014,18.13,18.13,4.79
6,2024-11-14 21:00:00,17.11,overcast clouds,88,1015,17.11,17.11,5.24
7,2024-11-15 00:00:00,16.53,overcast clouds,94,1017,16.53,16.53,3.92
8,2024-11-15 03:00:00,16.68,overcast clouds,94,1016,16.68,16.68,3.3
9,2024-11-15 06:00:00,16.75,overcast clouds,92,1015,16.75,16.75,3.41
10,2024-11-15 09:00:00,16.98,overcast clouds,90,1016,16.98,16.98,2.8
11,2024-11-15 12:00:00,18.64,overcast clouds,83,1017,18.64,18.64,2.88
12,2024-11-15 15:00:00,22.5,overcast clouds,69,1015,22.5,22.5,3.17
13,2024-11-15 18:00:00,22.69,light rain,73,1013,22.69,22.69,3.79
14,2024-11-15 21:00:00,20.51,light rain,84,1014,20.51,20.51,4.29
15,2024-11-16 00:00:00,18.88,light rain,94,1016,18.88,18.88,2.99
16,2024-11-16 03:00:00,18.78,light rain,95,1015,18.78,18.78,2.19
17,2024-11-16 06:00:00,18.57,light rain,96,1014,18.57,18.57,1.3
18,2024-11-16 09:00:00,18.75,light rain,95,1015,18.75,18.75,1.5
19,2024-11-16 12:00:00,21.45,overcast clouds,80,1016,21.45,21.45,1.95
20,2024-11-16 15:00:00,23.89,moderate rain,71,1015,23.89,23.89,3.53
21,2024-11-16 18:00:00,24.05,moderate rain,68,1013,24.05,24.05,3.62
22,2024-11-16 21:00:00,20.94,moderate rain,87,1015,20.94,20.94,2.08
23,2024-11-17 00:00:00,19.67,moderate rain,93,1016,19.67,19.67,3.1
24,2024-11-17 03:00:00,18.3,light rain,94,1016,18.3,18.3,2.47
25,2024-11-17 06:00:00,18.79,light rain,89,1014,18.79,18.79,1.35
26,2024-11-17 09:00:00,18.71,broken clouds,89,1016,18.71,18.71,0.92
27,2024-11-17 12:00:00,22.79,scattered clouds,74,1016,22.79,22.79,2.16
28,2024-11-17 15:00:00,24.43,moderate rain,69,1015,24.43,24.43,1.95
29,2024-11-17 18:00:00,24.52,moderate rain,71,1013,24.52,24.52,1.78
30,2024-11-17 21:00:00,22.71,light rain,83,1012,22.71,22.71,2.24
31,2024-11-18 00:00:00,20.74,light rain,91,1014,20.74,20.74,2.08
32,2024-11-18 03:00:00,19.96,clear sky,88,1014,19.96,19.96,1.45
33,2024-11-18 06:00:00,19.19,scattered clouds,92,1012,19.19,19.19,1.37
34,2024-11-18 09:00:00,19.04,scattered clouds,91,1013,19.04,19.04,1.03
35,2024-11-18 12:00:00,23.79,scattered clouds,70,1014,23.79,23.79,2.17
36,2024-11-18 15:00:00,28.92,light rain,49,1012,28.92,28.92,1.53
37,2024-11-18 18:00:00,28.21,light rain,50,1009,28.21,28.21,2.04
38,2024-11-18 21:00:00,24.8,light rain,75,1010,24.8,24.8,2.96
39,2024-11-19 00:00:00,22.19,light rain,87,1012,22.19,22.19,1.81
